#,Team,MatchPlayed,W,D,L,Goals For,Goals Against,G Diff,Points
1,Arsenal,30,23,4,3,72,29,43,73
2,Man City,30,22,4,4,78,29,49,70
3,Newcastle,29,15,11,3,48,21,27,56
4,Man United,29,17,5,7,44,37,7,56
5,Tottenham,30,16,5,9,55,42,13,53
6,Aston Villa,30,14,5,11,41,40,1,47
7,Brighton,28,13,7,8,52,36,16,46
8,Liverpool,29,12,8,9,50,35,15,44
9,Brentford,30,10,13,7,47,40,7,43
10,Fulham,29,11,6,12,39,40,-1,39
11,Chelsea,30,10,9,11,29,31,-2,39
12,Crystal Palace,30,8,9,13,29,40,-11,33
13,Wolves,30,8,7,15,24,42,-18,31
14,West Ham,30,8,6,16,29,42,-13,30
15,Bournemouth,30,8,6,16,28,57,-29,30
16,Leeds,30,7,8,15,39,54,-15,29
17,Everton,30,6,9,15,23,43,-20,27
18,Nottingham,30,6,9,15,24,54,-30,27
19,Leicester,30,7,4,19,40,52,-12,25
20,Southampton,30,6,5,19,24,51,-27,23
